ID	Art	Ven	BgArt	BgVen	
Id1	3442.640089	3076.528721	1096.9	1483.485714	 
Id2	16955.23429	26459.23342	1671.872951	1989.356557	 
Id3	16817.69368	5509.247895	3140.127049	2156.213115	 
Id4	20573.30881	19043.9096	1446.409524	1636.9	 
Id5	4312.703597	3195.587329	1205.273196	1538.097938	 
Id6	6432.071287	6322.401292	1946.705128	1664.352459	 
Id7	7991.211781	9095.994302	1848.659794	2503.556701	 
Id8	6415.537794	6136.647208	1188.145	1481.105	 
Id9	6165.893471	6523.886926	1140.4	1525.457143	 
Id10	5063.472477	4236.098182	1100.895238	1470.538095	 
Id11	13363.57542	10037.09321	1217.566667	1459.957143	 
Id12	5645.570304	4248.726619	1166.066667	1462.790476	 
Id13	28977.91474	14812.11905	1639.803419	1851.405983	 
Id14	6124.347973	5763.26557	1113.038095	1631.895238	 
Id15	2756.541906	3209.025538	1193.857143	1581.338095	 
Id16	55763.17557	58328.64513	1908.081967	2014.938525	 
Id17	14362.96817	13551.40524	2391.447619	1793.213675	 
Id18	2611.578755	2835.506931	1167.406593	1335.541237	 
Id19	4084.438717	3564.110814	1326.328571	1676.866667	 
Id20	6902.351385	7132.884211	1200.555	1471.425	 
Id21	3584.792181	2489.808197	1015.307692	1360.961905	 
Id22	10530.36724	3943.509759	1138.568376	1181.123932	 
Id23	17314.15423	3920.272	1158.051282	1507.525641	 
Id24	26249.59703	4771.050864	2161.431624	1488.061475	 
Id25	3534.028931	3301.760736	1223.025	1454.575	 
Id26	3679.523918	3151.016993	1092.114286	1334.32381	 
Id27	14508.56583	14570.20787	2072.891753	2088.623711	 
Id28	30398.29388	4111.821678	1210.008547	1292.347619	 
Id29	7118.665986	3451.078231	1122.303419	1328.58547	 
Id30	6023.559598	4698.161206	1162.935	1398.93	 
Id31	9644.356053	3161.828418	1069.393162	1447.47619	 
Id32	17569.21498	2346.926509	1633.572165	1355.730469	 
Id33	2091.718519	3130.081862	1115.3	1583.565	 
Id34	3351.70112	3408.863128	1067.734127	1546.829365	 
Id35	2667.727743	3107.369914	1015.260684	1477.965812	 
Id36	4396.926415	3807.655138	1130.803279	1389.491803	 
Id37	5663.166667	4148.360991	1124.602564	1419.24359	 
Id38	17722.31863	4124.771834	1365.990476	1469.722222	 
Id39	3836.087799	4915.25448	1160.990476	1684.538095	 
Id40	10060.98111	2763.746293	1317.987179	1582.104762	 
Id41	2245.42003	3128.355319	1091.190722	1703.510989	 
Id42	3255.336185	3658.399812	1229.448413	1508.123016	 
Id43	4270.458791	3800.256713	1057.664063	1466.820313	 
Id44	4068.429773	2688.886926	1046.72619	1531.667969	 
Id45	3257.68872	3324.933539	1111.542735	1667.138095	 
Id46	2761.922572	3266.824615	1189.88	1527.575	 
Id47	2269.953092	3086.199017	1067.786325	1474.662393	 
Id48	4189.079352	4671.619641	1655.896825	1701.226563	 
Id49	2821.580345	3193.985692	1176.165	1619.225	 
Id50	8455.565056	3827.528044	1125.885	1353.12	 
Id51	5367.631579	4537.699102	1089.247423	1505.762887	 
Id52	13765.74749	25968.99616	1177.175	1617.855	 
Id53	4677.51217	4920.214286	1114.166667	1570.880342	 
Id54	12345.79975	4522.794948	1041.2	1262.623711	 
Id55	12801.33586	12026.84849	1061.57	1419.375	 
Id56	7149.759021	5106.839674	1109.905	1486.415	 
Id57	3146.779376	3478.07973	1089.02381	1535.390476	 
Id58	3294.34925	3805.068862	1092.69	1508.755	 
Id59	4428.042151	6467.962236	1388.943299	1833.128866	 
Id60	4385.791005	4809.40137	1044.62	1476.23	 
Id61	15325.4	21220.45845	1405.247423	1649.74	 
Id62	6059.045161	5193.554184	1142.15	1679.285	 
Id63	3919.017173	3628.5	1111.285	1509.67	 
Id64	5581.997072	7438.442623	1155.608247	1555.556701	 
Id65	4961.351385	3852.825641	1238.095	1452.052381	 
Id66	2857.621585	3533.234219	1071.045	1482.015464	 
Id67	8224.385382	7331.430351	1190.685714	1535.242857	 
Id68	12245.94051	5737.644231	2428.5	2124.272727	 
Id69	1448.4	2251.407202	995.988281	1286.542969	 
Id70	6530.567819	4511.76824	1145.87	1419.695	 
Id71	7562.583226	4817.035162	1062.91	1454.775	 
Id72	29768.30086	25238.10285	1647.46	1831.325	 
Id73	4774.864341	4302.73842	1086.9	1255.21	 
Id74	7656.664524	5384.125846	1044.565	1331.12	 
Id75	5116.43543	4492.865065	1221.296703	1560.934066	 
Id76	8804.607662	6236.979253	1049.54	1378.62	 
Id77	32918.40928	25323.30042	1380.314433	1348.824742	 
Id78	18636.88378	21794.01421	1098.68	1718.680412	 
Id79	9797.811688	8903.896879	1116.7	1409.67	 
